idx|tags|query|parameter
21||quote[(quote["time"] >= timedelta(hours=8, minutes=30)) & (quote["time"] <= timedelta(hours=8, minutes=35))].pipe(lambda df: pd.DataFrame({"avgWeightedSpread": [((df["ask"] - df["bid"]) * (df["asize"] + df["bsize"])).sum() / (df["asize"] + df["bsize"]).sum()], "devSpread": [(df["ask"] - df["bid"]).std(ddof=0)], "maxSpread": [(df["ask"] - df["bid"]).max()], "minSpread": [(df["ask"] - df["bid"]).min()]}))|
22||quote.query("sym == @mostFreqInstr").assign(ex=lambda df: df["ex"].map(exnames).fillna("")).groupby("ex", observed=True).apply(lambda g: pd.Series({"avgWeightedSpread": ((g["ask"] - g["bid"]) * (g["asize"] + g["bsize"])).sum() / (g["asize"] + g["bsize"]).sum(), "devSpread": (g["ask"] - g["bid"]).std(ddof=0), "maxSpread": (g["ask"] - g["bid"]).max(), "minSpread": (g["ask"] - g["bid"]).min()}), include_groups=False).reset_index()|
23||quote.query("sym == @mostFreqInstr").assign(ex=lambda df: df["ex"].map(exnames).fillna("")).eval("spread=ask - bid").eval("sizes=asize + bsize").groupby("ex", observed=True).apply(lambda g: pd.Series({"avgWeightedSpread": (g["spread"] * g["sizes"]).sum() / g["sizes"].sum(), "devSpread": g["spread"].std(ddof=0), "maxSpread": g["spread"].max(), "minSpread": g["spread"].min()}), include_groups=False).reset_index()|
24||quote.query("sym in @hundredInstrs").assign(ex=lambda df: df["ex"].map(exnames).fillna("")).groupby(["sym", "ex"], observed=True).apply(lambda g: pd.Series({"avgWeightedSpread": np.where((denom := (g["asize"] + g["bsize"]).sum()) == 0, np.nan, ((g["ask"] - g["bid"]) * (g["asize"] + g["bsize"])).sum() / denom), "devSpread": (g["ask"] - g["bid"]).std(ddof=0), "maxSpread": (g["ask"] - g["bid"]).max(), "minSpread": (g["ask"] - g["bid"]).min()}), include_groups=False).reset_index()|
25||quote.query('shortSaleRestrictionIndicator == "0"').assign(ex=lambda df: df["ex"].map(exnames).fillna("")).groupby("ex", observed=True).apply(lambda g: pd.Series({"avgWeightedSpread": ((g["ask"] - g["bid"]) * (g["asize"] + g["bsize"])).sum() / (g["asize"] + g["bsize"]).sum(), "devSpread": (g["ask"] - g["bid"]).std(ddof=0), "maxSpread": (g["ask"] - g["bid"]).max(), "minSpread": (g["ask"] - g["bid"]).min()}), include_groups=False).reset_index()|
26||trade[trade["size"] > 700000][["sym", "ex"]].drop_duplicates()|
27||quote.query("sym in @twentyInstrs").groupby("sym", observed=True).apply(lambda g: pd.Series({"weightedBidPrice": (g["bsize"] * g["bid"]).sum() / g["bsize"].sum(), "weightedOfferPrice": (g["asize"] * g["ask"]).sum() / g["asize"].sum()}), include_groups=False).reset_index()|
28||trade.query("sym == @mostFreqInstr")[["time", "price"]].assign(price=lambda df: df["price"].rolling(20, min_periods=1).mean())|
29||quote.query("sym in @twentyInstrs").assign(LiqWMid=lambda df: (df["bsize"] * df["bid"] + df["asize"] * df["ask"]) / (df["asize"] + df["bsize"]), sizes=lambda df: df["asize"] + df["bsize"]).assign(movingLiqWMid=lambda df: df.groupby("sym", observed=True)["LiqWMid"].transform(lambda x: x.rolling(5, min_periods=1).mean()), movingsize=lambda df: df.groupby("sym", observed=True)["sizes"].transform(lambda x: x.rolling(5, min_periods=1).mean()))[["sym", "time", "movingLiqWMid", "movingsize"]].sort_values(["sym","time"])|
30||trade.query("sym == @aFreqInstr")[["time", "size"]].assign(size=lambda df: df["size"].cumsum())|
31||trade[trade["ex"] == "L"][["time", "size"]].assign(size=lambda df: df["size"].cumsum())|
32||trade[trade['time'].between(timedelta(hours=8), timedelta(hours=8, minutes=15))].assign(movingvwap=lambda x: (x['price'] * x['size']).groupby(x['sym']).cumsum() / x.groupby('sym')['size'].cumsum())[['sym', 'time', 'price', 'size', 'movingvwap']]|
33||trade[trade["ex"] == "T"][["time", "size"]].assign(size=lambda df: df["size"].cumsum())|
34||trade[trade["size"] == trade.groupby("ex", observed=True)["size"].transform("max")]|
35||pd.concat([quote.query("sym == @mostFreqInstr").pipe(lambda df: df[df["bid"]  == df.groupby("ex")["bid"].transform("max")]).pipe(lambda df: df[df["time"] == df.groupby("ex")["time"].transform("min")]).assign(tag="maxbid"), quote.query("sym == @mostFreqInstr").pipe(lambda df: df[df["ask"]  == df.groupby("ex")["ask"].transform("min")]).pipe(lambda df: df[df["time"] == df.groupby("ex")["time"].transform("min")]).assign(tag="minask")])|
36||trade[trade["size"] == trade.groupby(["ex", "sym"], observed=True)["size"].transform("min")]|
37||trade[trade["size"] == trade.groupby(["ex", "sym"], observed=True)["size"].transform("min")].sort_values("sym", kind='stable')|
38||trade.assign(seq_delta=lambda df: df.groupby("sym", observed=True)["seq"].diff()).query("seq_delta < 0")[["sym", "seq"]].rename(columns={"seq": "seqDecr"}).sort_values("sym")|
39||trade.assign(timeBucket=lambda x: pd.cut(x['time'], bins=pd.to_timedelta(list(timeBuckets.values()) + [timedelta(days=1)]).astype('timedelta64[ns]'), labels=range(len(timeBuckets)), right=False)).groupby(["ex", "timeBucket"], observed=True).agg(cnt=('size', 'count'), size=('size', 'sum')).reset_index().assign(timeBucket=lambda df: df["timeBucket"].map({i: v for i, v in enumerate(timeBuckets.keys())}))|
40||trade.query("corr != 0").assign(timeBucket=lambda x: pd.cut(x['time'], bins=pd.to_timedelta(list(timeBuckets.values()) + [timedelta(days=1)]).astype('timedelta64[ns]'), labels=timeBuckets.keys(), right=False)).groupby(["sym", "timeBucket"], observed=True).agg(cnt=('size', 'count'), size=('size', 'sum')).reset_index().assign(timeBucket=lambda df: df["timeBucket"].astype(str)).sort_values(["sym", "timeBucket"], kind="stable").reset_index(drop=True)|
41||trade.query("sym in @hundredInstrs and stop != ''").assign(minute=lambda df: df["time"].dt.floor("5min")).groupby(["sym", "minute"], observed=True).agg(o=("price", "first"), h=("price", "max"), l=("price", "min"), c=("price", "last"), s=("size", "sum")).reset_index()|
42||quote.query("sym == @anInfreqInstr").assign(minute=lambda df: df["time"].dt.floor("1min")).groupby("minute", observed=True).agg(asize=("asize", "first"), bsize=("bsize", "first")).reset_index().eval("inbal=(bsize - asize) / (bsize + asize)")|
43||quote.query("sym in @fivehundredInfreqInstrs").groupby("sym", observed=True).apply(lambda g: pd.Series({"wsumAsk": (g["ask"] * g["asize"]).sum(), "wsumBid": (g["bid"] * g["bsize"]).sum(), "sdevasksize": g["asize"].std(), "sdevbid": g["bid"].std(), "corPrice": g["ask"].corr(g["bid"]), "corSize": g["asize"].corr(g["bsize"])}), include_groups=False).reset_index()|
44||trade[trade["price"] == trade.groupby("sym", observed=True)["price"].transform("min")]|
45||trade.query("sym == @mostFreqInstr").pipe(lambda d: d.groupby((d['price'] != d['price'].shift()).cumsum().rename('pricegroup')).agg(price=('price', 'first'), FirstTime=('time', 'first'), LastTime=('time', 'last'), cnt=('price', 'size'), size=('size', 'sum'))).reset_index()|
46||trade[trade['sym'].isin(hundredInstrs)].assign(pricegroup=lambda d: d.groupby('sym')['price'].transform(lambda x: (x != x.shift()).cumsum())).groupby(['sym', 'pricegroup'],observed=True).agg(price=('price', 'first'), FirstTime=('time', 'first'), LastTime=('time', 'last'), cnt=('price', 'size'), size=('size', 'sum'))|
47||trade[trade['ex'].isin(['L', 'M'])].assign(pricegroup=lambda d: d.groupby('sym')['price'].transform(lambda x: (x != x.shift()).cumsum())).groupby(['sym', 'pricegroup'],observed=True).agg(price=('price', 'first'), FirstTime=('time', 'first'), LastTime=('time', 'last'), cnt=('price', 'size'), size=('size', 'sum'))|
48||pd.DataFrame({'medMidSize': [quote.query("sym == @anInfreqInstr").eval("bsize + asize").median()]})|
49||trade.groupby("ex", observed=True)["size"].median().rename("medSize").reset_index()|
50||pd.merge_asof(trade.query("sym in @twentyInstrs")[["sym", "time", "price", "size", "stop", "cond", "ex"]].assign(sym=lambda df: df["sym"].astype(str)), quote.query("sym in @twentyInstrs")[["sym", "time", "bid", "ask", "bsize", "asize", "cond", "ex"]].rename(columns={"cond": "quotecond", "ex": "quoteex"}).assign(sym=lambda df: df["sym"].astype(str)), on="time", by="sym")|
51||pd.merge_asof(trade.query("sym == @aFreqInstr")[["time", "price", "size", "stop", "cond", "ex"]], quote.query("sym == @aFreqInstr")[["time", "bid", "ask", "bsize", "asize", "cond", "ex"]].rename(columns={"cond": "quotecond", "ex": "quoteex"}), on="time")|
52||pd.merge_asof(trade[trade["size"] > 500000][["sym", "time", "price", "size", "stop", "cond", "ex"]].assign(sym=lambda df: df["sym"].astype(str), ex=lambda df: df["ex"].astype(str)), quote[["sym", "time", "bid", "ask", "bsize", "asize", "cond", "ex"]].rename(columns={"cond": "quotecond"}).assign(sym=lambda df: df["sym"].astype(str), ex=lambda df: df["ex"].astype(str)), by=["sym", "ex"], on="time")|
53||pd.merge_asof(trade[(trade["time"] >= timedelta(hours=16, minutes=20)) & (trade["time"] <= timedelta(hours=16, minutes=30))][["sym", "time", "price", "size", "stop", "cond", "ex"]].assign(sym=lambda df: df["sym"].astype(str), ex=lambda df: df["ex"].astype(str)), quote[["sym", "time", "bid", "ask", "bsize", "asize", "cond"]].rename(columns={"cond": "quotecond"}).assign(sym=lambda df: df["sym"].astype(str)), by="sym", on="time")|
