idx|tags|description|sortby|comment
35|advanced,singleinstrument,groupby|select all rows from quote when a given instrument first reaches its daily maximal bid price or daily minimal ask price. Introduce a new `tag` column that can take either value `maxbid` or `minask`|tag,time,idx|
36|advanced,groupby|select trades with the smallest size per exchange-symbol combination. The result order must match the input order|time,idx|
37|advanced,groupby|select trades with the smallest size per exchange-symbol combination. The result must be ordered by sym and withing sym by time, idx|sym,time,idx|
38|advanced,groupby|select the indices of all rows in which the sequence number decreases for the instrument|sym,seqDecr|
39|complex,groupby|custom time bucket (e.g. before 9:00 is preopen), sort result by instrumentID and time bucket|ex,timeBucketIdx|
40|complex,groupby|custom time bucket (e.g. before 9:00 is preopen)|ex,timeBucket|
41|simple,fewinstruments,groupby|calculate 5-minute open/high/low/close/volume bars for 100 instruments filtered to non-UTP trades (field stop is not null)|sym,minute|
42|simple,singleinstrument,groupby|calculate 1-minute first bid/ask sizes with order imbalance for an infrequent instrument|minute|
43|advanced,fewinstruments,groupby|calculate size weighted ask/bid quotes, size standard deviations, and price/size correlations for 500 infrequent instruments|sym|
44|advanced,rawcolumn,groupby|trades with the smallest price for all instruments|time,idx|
45|complex,singleinstrument,groupby|We want to calculate how much volume was transacted at each price. Whenever the price changes, we want to restart the count. We only want to consider prices for the same instrument|pricegroup|
46|complex,fewinstruments,groupby|We want to calculate how much volume was transacted at each price. Whenever the price changes, we want to restart the count. We only want to consider prices for the same instrument|sym,pricegroup|
47|complex,groupby|We want to calculate how much volume was transacted at each price. Whenever the price changes, we want to restart the count. We only want to consider prices for the same instrument|sym,pricegroup|
48|simple,singleinstrument|calculate median bid+ask size for an infrequent instrument||
49|simple,groupby|calculate median trade size by exchange|ex|
50|advanced,fewinstruments,asofjoin,rawcolumn|as-of join trades with quotes for 20 instruments to get prevailing quote at trade time|time,idx|
51|advanced,singleinstrument,asofjoin,rawcolumn|as-of join trades with quotes for a frequent instrument to get prevailing quote at trade time|time,idx|
52|advanced,asofjoin,rawcolumn|as-of join large trades (size > 500,000) with quotes by sym+exchange to get prevailing quote at trade time|time,idx|
53|advanced,asofjoin,timefilter,rawcolumn|as-of join pre close trades (time between 0D16:20 and 0D16:30) with quotes by sym+exchange to get prevailing quote at trade time|time,idx|
