idx|tags|query|parameter
35||SELECT * EXCLUDE (rowid) FROM (WITH b AS (SELECT *, rowid, MAX(bid) OVER (PARTITION BY ex) AS max_bid, MIN(ask) OVER (PARTITION BY ex) AS min_ask FROM quote WHERE sym=$1) SELECT * EXCLUDE (max_bid, min_ask, min_time), 'maxbid' AS tag FROM (SELECT *, MIN(time) OVER (PARTITION BY ex) AS min_time FROM b WHERE bid = max_bid) WHERE time = min_time UNION ALL SELECT * EXCLUDE (max_bid, min_ask, min_time), 'minask' AS tag FROM (SELECT *, MIN(time) OVER (PARTITION BY ex) AS min_time FROM b WHERE ask = min_ask) WHERE time = min_time) ORDER BY tag, rowid|mostFreqInstr
36||SELECT * EXCLUDE (min_size, rowid) FROM (SELECT *, MIN(size) OVER (PARTITION BY ex, sym) AS min_size, rowid FROM trade) WHERE size = min_size ORDER BY rowid|
37||SELECT * EXCLUDE (min_size, rowid) FROM (SELECT *, rowid, MIN(size) OVER (PARTITION BY ex, sym) AS min_size FROM trade) WHERE size = min_size ORDER BY sym::VARCHAR, rowid|
38||SELECT sym, seq AS seqDecr FROM (SELECT sym, seq, seq - LAG(seq) OVER (PARTITION BY sym ORDER BY time, rowid) AS seq_delta FROM (SELECT *, rowid FROM trade)) WHERE seq_delta < 0 ORDER BY sym::VARCHAR, seqDecr|
39||WITH tb AS (SELECT *, rowid FROM timeBuckets) SELECT ex, FIRST(bucket) AS timeBucket, COUNT(*) AS cnt, SUM(size) AS size FROM trade t ASOF JOIN tb ON t.time::TIME >= tb.bound GROUP BY ex, tb.rowid ORDER BY ex, tb.rowid|
40||SELECT sym, bucket AS minute, COUNT(*) AS cnt, SUM(size) AS size FROM trade t ASOF JOIN timeBuckets ON t.time::TIME >= timeBuckets.bound WHERE corr != 0 GROUP BY sym, minute ORDER BY sym::VARCHAR, minute|
41||SELECT * RENAME bucket AS minute FROM (SELECT sym, time_bucket(INTERVAL '5 minutes', time)::TIME AS bucket, FIRST(price ORDER BY rowid) AS o, MAX(price) AS h, MIN(price) AS l, LAST(price ORDER BY rowid) AS c, SUM(size) AS s FROM trade WHERE sym IN $1 AND stop != '' GROUP BY sym, bucket ORDER BY sym::VARCHAR, bucket)|hundredInstrs
42||SELECT *, (bsize - asize) / (bsize + asize) AS inbal FROM (SELECT time_bucket(INTERVAL '1 minute', time)::TIME AS minute, FIRST(asize ORDER BY rowid) AS asize, FIRST(bsize ORDER BY rowid) AS bsize FROM quote WHERE sym = $1 GROUP BY minute ORDER BY minute)|anInfreqInstr
43||SELECT sym, SUM(asize * ask) AS wsumAsk, SUM(bid * bsize) AS wsumBid, STDDEV(asize) AS sdevasksize, STDDEV(bid) AS sdevbid, CORR(ask, bid) AS corPrice, CORR(asize, bsize) AS corSize FROM quote WHERE sym IN $1 GROUP BY sym ORDER BY sym::VARCHAR|fivehundredInfreqInstrs
44||SELECT * EXCLUDE (min_price, rowid) FROM (SELECT *, rowid, MIN(price) OVER (PARTITION BY sym) AS min_price FROM trade) WHERE price = min_price ORDER BY rowid|
45||WITH src AS (SELECT *, rowid FROM trade WHERE sym = $1), changes AS (SELECT *, (price IS DISTINCT FROM LAG(price) OVER (ORDER BY time, rowid))::INT AS price_changed FROM src), runs AS (SELECT *, SUM(price_changed) OVER (ORDER BY time, rowid) AS pricegroup FROM changes) SELECT pricegroup, FIRST(price ORDER BY rowid) AS price, MIN(time) AS FirstTime, MAX(time) AS LastTime, COUNT(*) AS cnt, SUM(size) AS size FROM runs GROUP BY pricegroup ORDER BY pricegroup|mostFreqInstr
46||WITH src AS (SELECT *, rowid FROM trade WHERE sym IN $1), changes AS (SELECT *, (price IS DISTINCT FROM LAG(price) OVER (PARTITION BY sym ORDER BY time, rowid))::INT AS price_changed FROM src), runs AS (SELECT *, SUM(price_changed) OVER (PARTITION BY sym ORDER BY time, rowid) AS pricegroup FROM changes) SELECT sym, pricegroup, FIRST(price) AS price, MIN(time) AS FirstTime, MAX(time) AS LastTime, COUNT(*) AS cnt, SUM(size) AS size FROM runs GROUP BY sym, pricegroup ORDER BY sym::VARCHAR, pricegroup|hundredInstrs
47||WITH src AS (SELECT *, rowid FROM trade WHERE ex IN ('L', 'M')), changes AS (SELECT *, (price IS DISTINCT FROM LAG(price) OVER (PARTITION BY sym ORDER BY time, rowid))::INT AS price_changed FROM src), runs AS (SELECT *, SUM(price_changed) OVER (PARTITION BY sym ORDER BY time, rowid) AS pricegroup FROM changes) SELECT sym, pricegroup, FIRST(price) AS price, MIN(time) AS FirstTime, MAX(time) AS LastTime, COUNT(*) AS cnt, SUM(size) AS size FROM runs GROUP BY sym, pricegroup ORDER BY sym::VARCHAR, pricegroup|
48||SELECT MEDIAN(bsize + asize) AS medMidSize FROM quote WHERE sym=$1|anInfreqInstr
49||SELECT ex, MEDIAN(size) AS medSize FROM trade GROUP BY ex ORDER BY ex|
50||SELECT t.sym, t.time, t.price, t.size, t.stop, t.cond, t.ex, q.bid, q.ask, q.bsize, q.asize, q.cond AS quotecond, q.ex AS quoteex FROM (SELECT sym, time, price, size, stop, cond, ex, rowid FROM trade WHERE sym IN $1) t ASOF LEFT JOIN (SELECT sym, time, bid, ask, bsize, asize, cond, ex FROM quote WHERE sym IN $1) q USING (sym, time) ORDER BY t.rowid|twentyInstrs
51||SELECT t.time, t.price, t.size, t.stop, t.cond, t.ex, q.bid, q.ask, q.bsize, q.asize, q.cond AS quotecond, q.ex AS quoteex FROM (SELECT time, price, size, stop, cond, ex, rowid FROM trade WHERE sym = $1) t ASOF LEFT JOIN (SELECT time, bid, ask, bsize, asize, cond, ex FROM quote WHERE sym = $1) q ON t.time >= q.time ORDER BY t.rowid|aFreqInstr
52||SELECT t.sym, t.time, t.price, t.size, t.stop, t.cond, t.ex, q.bid, q.ask, q.bsize, q.asize, q.cond AS quotecond FROM (SELECT sym, time, price, size, stop, cond, ex, rowid FROM trade WHERE size > 500000) t ASOF LEFT JOIN (SELECT sym, time, bid, ask, bsize, asize, cond, ex FROM quote) q USING (sym, ex, time) ORDER BY t.rowid|
53||SELECT t.sym, t.time, t.price, t.size, t.stop, t.cond, t.ex, q.bid, q.ask, q.bsize, q.asize, q.cond AS quotecond FROM (SELECT sym, time, price, size, stop, cond, ex, rowid FROM trade WHERE time BETWEEN $1 + INTERVAL '16 hours 20 minutes' AND $1 + INTERVAL '16 hours 30 minutes') t ASOF LEFT JOIN (SELECT sym, time, bid, ask, bsize, asize, cond FROM quote) q USING (sym, time) ORDER BY t.rowid|datadate
